region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
milwaukee,31700,2015.0,mercedes-benz,benz sprinter van,good,6 cylinders,diesel,155800.0,clean,automatic,4wd,full-size,van,silver,wi,8.332999,-8.332801
palm springs,500,2013.0,nissan,altima,,,gas,130000.0,salvage,automatic,,,,,ca,34.0033,-117.445
south jersey,9995,2007.0,ford,expedition,excellent,,gas,161928.0,clean,automatic,rwd,,SUV,black,nj,40.185944,-74.74987
fort collins / north CO,16590,2019.0,chevrolet,cruze lt sedan 4d,good,,gas,52984.0,clean,other,fwd,,sedan,silver,co,40.55,-105.06
orange county,29995,2012.0,ford,f-250 sd,excellent,,gas,170049.0,clean,automatic,4wd,,pickup,,ca,33.859474,-118.00298
tyler / east TX,6875,2014.0,dodge,dart sxt,excellent,4 cylinders,gas,122000.0,clean,manual,,,,,tx,32.159485,-95.45677
greensboro,0,2008.0,nissan,rogue,,,gas,101920.0,clean,other,,,,,nc,35.99657,-80.03404
ft myers / SW florida,29590,2018.0,audi,a6 2.0t premium sedan 4d,good,,gas,13035.0,clean,other,fwd,,sedan,,fl,26.63,-81.85
orlando,23980,2018.0,ford,taurus,,6 cylinders,gas,9958.0,clean,automatic,fwd,full-size,sedan,grey,fl,28.792414,-81.2313
maine,2500,2001.0,ford,ranger xlt,fair,6 cylinders,gas,96576.0,salvage,automatic,4wd,mid-size,truck,blue,me,44.7874,-68.7539
yakima,8999,2011.0,hyundai,sonata,excellent,4 cylinders,gas,90188.0,clean,automatic,fwd,full-size,sedan,silver,wa,46.552948,-120.47527
columbus,44995,2017.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,29955.0,clean,automatic,4wd,,SUV,black,oh,40.064137,-82.99807
mansfield,31590,2018.0,toyota,4runner sr5 sport utility,good,6 cylinders,gas,62496.0,clean,other,,,other,red,oh,40.76,-82.52
sioux falls / SE SD,5900,2008.0,buick,enclave cxl,excellent,6 cylinders,gas,149887.0,salvage,automatic,4wd,,,white,sd,43.56245,-96.69778
greenville / upstate,11900,2013.0,toyota,prius,excellent,4 cylinders,gas,53415.0,clean,automatic,fwd,mid-size,sedan,black,sc,34.90355,-82.34607
columbus,15599,2018.0,hyundai,elantra,,4 cylinders,gas,45767.0,clean,automatic,fwd,mid-size,sedan,black,ga,32.548805,-84.9241
seattle-tacoma,0,2010.0,toyota,tacoma trd,,6 cylinders,gas,126062.0,clean,automatic,4wd,,,,wa,47.227596,-122.46426
phoenix,23990,2013.0,bmw,7 series 740li sedan 4d,good,,other,56954.0,clean,other,rwd,,sedan,black,az,33.51,-112.36
worcester / central MA,35000,1955.0,chevrolet,210 post car,good,8 cylinders,gas,62033.0,clean,manual,rwd,full-size,sedan,red,ma,42.574,-71.9898
los angeles,7000,2012.0,mini,cooper s countryman,excellent,4 cylinders,gas,200000.0,clean,automatic,fwd,compact,offroad,blue,ca,33.8268,-118.3118
pittsburgh,20990,2016.0,mazda,cx-5 sport suv 4d,good,,gas,24958.0,clean,other,,,other,white,pa,40.43,-79.97
cincinnati,25900,2003.0,,FORDF350 7.3 DIESEL 4X4 CREW,,,diesel,108471.0,clean,automatic,4wd,,,,oh,39.60976,-85.44883
fayetteville,24995,2006.0,gmc,c7500 dump truck,,6 cylinders,,163437.0,,automatic,,,,,nc,29.620825,-82.38632
central louisiana,22990,2017.0,dodge,challenger sxt coupe 2d,good,6 cylinders,gas,24293.0,clean,other,rwd,,coupe,red,la,30.52,-92.08
greensboro,29968,2014.0,gmc,sierra 1500 slt,,,gas,97561.0,clean,automatic,,,,,nc,36.2245,-79.8901
reading,19990,2013.0,volkswagen,eos sport convertible,good,,gas,24294.0,clean,automatic,fwd,,convertible,blue,pa,40.33,-75.92
springfield,23995,2009.0,ford,f250 super duty crew cab,,8 cylinders,diesel,182184.0,clean,automatic,4wd,,pickup,blue,mo,30.1237,-95.2686
hickory / lenoir,38991,2020.0,ford,f-150,,6 cylinders,gas,10554.0,clean,automatic,4wd,full-size,truck,silver,nc,,
boise,52999,2019.0,toyota,lifted tundra sr5 trd off,,,gas,28239.0,clean,automatic,4wd,,truck,silver,id,43.61974,-116.29469
orange county,0,2020.0,kia,soul gt-line,,4 cylinders,gas,55649.0,clean,automatic,fwd,,hatchback,,ca,33.75564,-116.286255
mansfield,8995,2015.0,volkswagen,passat s,like new,4 cylinders,gas,121900.0,clean,automatic,fwd,mid-size,sedan,blue,oh,40.733932,-82.79193
rochester,11999,2013.0,lincoln,mks awd,excellent,6 cylinders,gas,110000.0,clean,automatic,4wd,,sedan,black,mn,44.0496,-92.4896
